anio,conglome,vivienda,hogar,dpto_cod,dpto,dominio,dominio_nom,estrato,area,mieperho,gashog2d,linea,linpe,pobreza,pobre,pobre_ext,factor07,w_hog,w_per,nbi1,nbi2,nbi3,nbi4,nbi5,n_nbi,pobre_nbi
2023,007031,016,11,12,Junín,5,Sierra Centro,6,rural,2,15409.971680,330.755920,217.144974,3,0,0,200.012772,200.012772,400.025543,,,,,,,
2023,007031,046,11,12,Junín,5,Sierra Centro,6,rural,2,9794.850586,330.755920,217.144974,3,0,0,200.012772,200.012772,400.025543,,,,,,,
2023,007031,061,11,12,Junín,5,Sierra Centro,6,rural,1,14735.220703,330.755920,217.144974,3,0,0,200.012772,200.012772,200.012772,,,,,,,
2023,007031,076,11,12,Junín,5,Sierra Centro,6,rural,2,11895.530273,330.755920,217.144974,3,0,0,200.012772,200.012772,400.025543,,,,,,,
2023,007031,091,11,12,Junín,5,Sierra Centro,6,rural,2,15399.369141,330.755920,217.144974,3,0,0,200.012772,200.012772,400.025543,,,,,,,
2023,007031,118,11,12,Junín,5,Sierra Centro,6,rural,2,22860.990234,330.755920,217.144974,3,0,0,200.012772,200.012772,400.025543,,,,,,,
2023,007031,133,11,12,Junín,5,Sierra Centro,6,rural,4,13155.514648,330.755920,217.144974,2,1,0,200.012772,200.012772,800.051086,,,,,,,
2023,007195,012,11,13,La Libertad,1,Costa Norte,5,urbano,3,47604.218750,447.434448,239.799545,3,0,0,325.984924,325.984924,977.954773,,,,,,,
2023,007195,060,11,13,La Libertad,1,Costa Norte,5,urbano,4,17976.005859,447.434448,239.799545,2,1,0,325.984924,325.984924,1303.939697,,,,,,,
2023,007195,072,11,13,La Libertad,1,Costa Norte,5,urbano,4,24926.875000,447.434448,239.799545,3,0,0,325.984924,325.984924,1303.939697,,,,,,,
2023,007195,089,11,13,La Libertad,1,Costa Norte,5,urbano,1,34833.042969,447.434448,239.799545,3,0,0,325.984924,325.984924,325.984924,,,,,,,
